City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Kalino,RU,58.2504,57.6085,3.61,99,98,2.64,overcast clouds
235,Torbay,CA,47.6666,-52.7314,26.38,93,100,7.0,overcast clouds
236,Killybegs,IE,54.6333,-8.45,47.91,90,100,6.4,overcast clouds
237,Hobyo,SO,5.3505,48.5268,76.77,78,30,21.45,scattered clouds
238,Mogadishu,SO,2.0371,45.3438,77.52,86,39,20.89,scattered clouds
239,Tual,ID,-5.6667,132.75,80.82,80,100,15.41,overcast clouds
240,Vanimo,PG,-2.6741,141.3028,76.59,88,100,3.29,overcast clouds
241,Portland,US,45.5234,-122.6762,47.61,82,75,5.99,broken clouds
242,Kisangani,CD,0.5167,25.2,75.38,60,100,1.01,overcast clouds
243,Nelson Bay,AU,-32.7167,152.15,66.99,98,99,5.01,light rain
244,Zambezi,ZM,-13.5432,23.1047,64.6,96,100,4.59,light rain
245,Hovd,MN,48.0056,91.6419,-7.85,58,0,2.1,clear sky
246,Ierapetra,GR,35.01,25.7353,53.15,70,0,1.01,clear sky
247,Plettenberg Bay,ZA,-34.0527,23.3716,67.55,92,9,4.07,clear sky
248,Dongsheng,CN,39.8161,109.9776,1.87,80,100,21.36,overcast clouds
249,Brigantine,US,39.4101,-74.3646,43.0,81,100,5.75,light rain
250,Kaoma,ZM,-14.7833,24.8,63.84,98,98,4.41,light rain
251,Mali,GN,12.079,-12.2982,65.98,24,16,2.64,few clouds
252,Robertsport,LR,6.7533,-11.3686,80.01,82,71,8.95,broken clouds
253,Nishihara,JP,26.1842,127.7558,65.86,94,75,9.22,broken clouds
254,Umm Kaddadah,SD,13.6017,26.6876,65.7,12,0,14.47,clear sky
255,Eyl,SO,7.9803,49.8164,74.21,70,38,19.04,scattered clouds
256,Vallenar,CL,-28.5708,-70.7581,82.42,40,0,10.8,clear sky
257,Bethel,US,41.3712,-73.414,40.35,70,100,5.75,overcast clouds
258,Svetlaya,RU,46.5389,138.3297,-3.93,70,2,7.65,clear sky
259,Jilib,SO,0.4883,42.7854,75.72,87,49,8.57,scattered clouds
260,Berbera,SO,10.4396,45.0143,75.09,69,23,13.11,few clouds
261,Harbour Breton,CA,47.4833,-55.7983,29.19,72,15,10.87,few clouds
262,Tupanatinga,BR,-8.7533,-37.3397,83.3,38,63,6.98,broken clouds
263,Dikson,RU,73.5069,80.5464,-8.46,94,100,26.75,overcast clouds
264,Xai-Xai,MZ,-25.0519,33.6442,78.33,82,72,10.92,broken clouds
265,Vila Velha,BR,-20.3297,-40.2925,76.95,94,75,8.05,broken clouds
266,Mazagao,BR,-0.115,-51.2894,76.35,92,89,5.86,moderate rain
267,Morondava,MG,-20.2833,44.2833,77.58,81,99,7.0,overcast clouds
268,Panama City,PA,8.9936,-79.5197,85.95,68,20,9.22,light rain
269,Gat,IL,31.61,34.7642,65.39,73,1,1.72,clear sky
270,Gurupi,BR,-11.7292,-49.0686,71.4,96,100,3.2,overcast clouds
271,Faanui,PF,-16.4833,-151.75,79.03,74,89,6.53,light rain
272,Ugoofaaru,MV,5.6667,73.0,80.04,74,99,10.87,overcast clouds
273,Gamba,GA,-2.65,10.0,78.66,83,100,3.71,overcast clouds
274,Anadyr,RU,64.75,177.4833,-8.9,69,0,4.47,clear sky
275,Barcelos,PT,41.5388,-8.6151,47.84,75,68,5.19,broken clouds
276,Haapsalu,EE,58.9431,23.5414,24.98,89,55,3.27,broken clouds
277,Menzelinsk,RU,55.7271,53.1026,10.33,92,100,6.85,overcast clouds
278,Galesong,ID,-5.3166,119.3661,75.22,82,99,4.12,overcast clouds
279,Campo Grande,BR,-20.4428,-54.6464,80.15,78,75,3.44,broken clouds
280,Kemin,KG,42.7846,75.6892,22.98,63,0,7.43,clear sky
281,Ocampo,MX,21.65,-101.5,68.14,21,0,14.05,clear sky
282,Hailar,CN,49.2,119.7,-46.28,100,60,3.53,broken clouds
283,San Rafael,AR,-34.6177,-68.3301,89.04,20,0,6.2,clear sky
284,Salalah,OM,17.0151,54.0924,75.29,64,40,9.22,scattered clouds
285,Cidreira,BR,-30.1811,-50.2056,78.76,75,19,9.51,few clouds
286,Emporia,US,38.4039,-96.1817,39.51,80,100,8.05,overcast clouds
287,Nantucket,US,41.2835,-70.0995,42.94,78,100,18.41,overcast clouds
288,Coquimbo,CL,-29.9533,-71.3436,67.73,72,0,12.66,clear sky
289,Asau,RO,46.4333,26.4,40.28,96,100,2.13,overcast clouds
290,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,100,7.72,light rain
291,Nouadhibou,MR,20.931,-17.0347,65.64,65,0,20.8,clear sky
292,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,69,0,11.5,clear sky
293,San Jose,US,37.3394,-121.895,60.04,52,20,14.97,few clouds
294,Cabo San Lucas,MX,22.8909,-109.9124,79.61,63,20,6.91,few clouds
295,Ashoknagar,IN,24.5667,77.7167,55.87,78,0,7.45,clear sky
296,Mao,ES,39.8885,4.2658,43.36,61,40,16.11,scattered clouds
297,Ajra,IN,16.1167,74.2,63.14,52,88,1.81,overcast clouds
298,Mattawa,US,46.7379,-119.9028,48.81,57,14,4.12,few clouds
299,Kununurra,AU,-15.7667,128.7333,75.18,100,70,0.0,broken clouds
300,Kavaratti,IN,10.5669,72.642,79.77,71,98,11.52,overcast clouds
301,Marzuq,YE,14.4,46.4667,58.66,80,11,5.57,few clouds
302,Kindu,CD,-2.95,25.95,70.02,90,95,1.39,overcast clouds
303,Tarboro,US,35.8968,-77.5358,56.08,94,100,5.75,mist
304,Moerai,PF,-22.4333,-151.3333,77.04,75,99,11.36,light rain
305,Boca Do Acre,BR,-8.7522,-67.3978,81.45,78,98,2.75,overcast clouds
306,La Union,PE,-5.4,-80.75,85.21,44,12,15.88,few clouds
307,Omsukchan,RU,62.5333,155.8,-28.75,99,100,5.97,light snow
308,Sept-Iles,CA,50.2001,-66.3821,22.05,74,100,5.01,overcast clouds
309,Paralimni,CY,35.0375,33.9833,50.88,71,0,10.29,clear sky
310,Pontianak,ID,-0.0333,109.3333,75.18,100,100,3.44,mist
311,Lavrentiya,RU,65.5833,-171.0,-21.5,93,49,11.27,scattered clouds
312,Karratha,AU,-20.7377,116.8463,82.83,63,67,6.08,broken clouds
313,Udachnyy,RU,66.4167,112.4,-29.67,86,100,3.11,overcast clouds
314,Tirat Karmel,IL,32.7617,34.9719,62.69,61,28,4.72,scattered clouds
315,Srednekolymsk,RU,67.45,153.6833,-47.29,100,100,1.19,overcast clouds
316,Te Anau,NZ,-45.4167,167.7167,55.72,58,23,2.82,few clouds
317,Iqaluit,CA,63.7506,-68.5145,-5.31,83,75,19.57,light snow
318,Kaitangata,NZ,-46.2817,169.8464,56.48,50,28,8.52,scattered clouds
319,Muroto,JP,33.2833,134.15,46.92,90,100,25.77,light rain
320,Lagoa,PT,39.05,-27.9833,59.22,78,100,17.52,overcast clouds
321,Dakar,SN,14.6937,-17.4441,69.85,76,0,12.62,clear sky
322,Puerto Narino,CO,-3.7703,-70.3831,80.85,87,90,0.34,overcast clouds
323,Flinders,AU,-34.5833,150.8552,66.18,91,100,5.01,overcast clouds
324,Cabra,ES,37.4725,-4.4421,38.01,44,0,5.97,clear sky
325,Sindor,RU,62.8629,51.8905,1.15,100,100,3.38,overcast clouds
326,Holme,DK,56.1138,10.1725,29.77,88,12,4.09,few clouds
327,Ternate,ID,0.8,127.4,78.75,82,100,3.2,overcast clouds
328,Sistranda,NO,63.7256,8.834,39.16,65,100,15.48,overcast clouds
329,Bima,ID,-8.4667,118.7167,75.69,93,65,1.92,broken clouds
330,Duxbury,US,42.0418,-70.6723,41.25,83,100,3.44,overcast clouds
331,Najran,SA,17.4924,44.1277,58.71,27,6,3.4,clear sky
332,Montijo,PT,38.7067,-8.9739,51.58,70,0,10.36,clear sky
333,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.63,69,0,6.91,clear sky
334,Cayenne,GF,4.9333,-52.3333,80.64,78,40,13.8,scattered clouds
335,Walvis Bay,NA,-22.9575,14.5053,66.52,80,39,9.78,scattered clouds
336,Nova Esperanca,BR,4.438,-61.1151,76.21,72,98,1.07,overcast clouds
337,Port Blair,IN,11.6667,92.75,75.2,80,1,9.73,clear sky
338,Honiara,SB,-9.4333,159.95,80.46,78,100,2.26,overcast clouds
339,Mokobeng,BW,-22.9965,27.6678,74.12,48,0,9.24,clear sky
340,Isangel,VU,-19.55,169.2667,83.08,75,73,2.17,broken clouds
341,Spring Valley,US,36.108,-115.245,53.8,31,20,5.75,few clouds
342,Prince Rupert,CA,54.3161,-130.3201,37.78,80,100,8.72,overcast clouds
343,Jertih,MY,5.7336,102.4897,73.94,91,94,2.55,overcast clouds
344,Mackay,AU,-21.15,149.2,76.68,75,20,6.13,few clouds
345,Nanortalik,GL,60.1432,-45.2371,19.78,61,21,5.97,few clouds
346,South Yuba City,US,39.1166,-121.6391,56.35,37,0,18.41,clear sky
