City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Mount Isa,AU,2022-10-30 01:06:10,-20.7333,139.5,94.77,12,18,14.97
148,Yinchuan,CN,2022-10-30 01:06:10,38.4681,106.2731,51.73,41,5,2.33
149,Yeppoon,AU,2022-10-30 01:06:11,-23.1333,150.7333,85.78,44,5,7.99
150,Madimba,TZ,2022-10-30 01:06:12,-10.4,40.3333,72.12,89,8,4.54
151,Galle,LK,2022-10-30 01:06:12,6.0367,80.217,77.63,85,100,4.03
152,Nueva Helvecia,UY,2022-10-30 01:06:13,-34.3,-57.2333,64.6,62,4,9.86
153,Vanimo,PG,2022-10-30 01:06:13,-2.6741,141.3028,86.25,63,100,6.71
154,Imamoglu,TR,2022-10-30 01:06:14,37.2651,35.6572,60.51,26,0,6.33
155,Geraldton,AU,2022-10-30 01:06:15,-28.7667,114.6,55.81,82,75,19.57
156,Tasiilaq,GL,2022-10-30 01:06:16,65.6145,-37.6368,35.76,98,100,13.58
157,Garden Acres,US,2022-10-30 01:06:16,37.9638,-121.2294,71.24,35,0,6.91
158,Paamiut,GL,2022-10-30 01:06:17,61.994,-49.6678,33.84,85,100,11.95
159,Seoul,KR,2022-10-30 01:05:42,37.5683,126.9778,56.64,54,0,3.15
160,Pevek,RU,2022-10-30 01:06:17,69.7008,170.3133,8.42,93,100,8.16
161,Airai,TL,2022-10-30 01:06:18,-8.9266,125.4092,71.62,68,46,1.61
162,Bredasdorp,ZA,2022-10-30 01:06:19,-34.5322,20.0403,60.98,81,96,7.14
163,Aklavik,CA,2022-10-30 01:06:19,68.2191,-135.0107,2.68,99,100,1.77
164,Hengshui,CN,2022-10-30 01:06:20,37.7322,115.7011,56.82,61,100,3.29
165,Amapa,BR,2022-10-30 01:06:21,1.0,-52.0,73.22,94,100,2.51
166,Longyan,CN,2022-10-30 01:06:21,25.1072,117.0225,71.13,64,100,7.14
167,Bemidji,US,2022-10-30 01:06:22,47.4736,-94.8803,55.9,84,0,0.0
168,Nikolskoye,RU,2022-10-30 01:06:23,59.7035,30.7861,44.49,65,100,17.76
169,Kodiak,US,2022-10-30 01:06:23,57.79,-152.4072,35.11,93,100,13.8
170,Lahaina,US,2022-10-30 01:06:24,20.8783,-156.6825,87.8,80,10,7.47
171,Falmouth,GB,2022-10-30 01:01:24,50.1544,-5.0711,58.1,94,100,11.5
172,Puerto Escondido,MX,2022-10-30 01:06:24,15.85,-97.0667,81.43,61,0,2.3
173,Cabo San Lucas,MX,2022-10-30 01:06:20,22.8909,-109.9124,81.05,61,0,9.22
174,Kapuskasing,CA,2022-10-30 01:06:26,49.4169,-82.4331,44.44,86,100,7.05
175,Saint-Philippe,RE,2022-10-30 01:06:26,-21.3585,55.7679,69.39,83,65,9.01
176,Atambua,ID,2022-10-30 01:06:27,-9.1061,124.8925,82.51,65,100,0.29
177,Takaka,NZ,2022-10-30 01:06:27,-40.85,172.8,65.55,49,96,11.68
178,Palmer,US,2022-10-30 01:06:28,42.1584,-72.3287,48.18,78,6,1.19
179,Bairnsdale,AU,2022-10-30 01:06:28,-37.8333,147.6167,65.05,60,61,1.99
180,Rantepao,ID,2022-10-30 01:06:29,-2.9701,119.8978,77.05,75,100,2.28
181,Ust-Shonosha,RU,2022-10-30 01:06:29,61.1531,41.343,45.34,93,100,13.04
182,Esperantina,BR,2022-10-30 01:06:30,-3.9017,-42.2336,77.23,81,96,5.77
183,Hilo,US,2022-10-30 01:05:41,19.7297,-155.09,83.25,78,20,10.36
184,Half Moon Bay,US,2022-10-30 01:07:31,37.4636,-122.4286,66.58,78,0,14.97
185,Pittsburg,US,2022-10-30 01:07:31,38.028,-121.8847,71.13,41,0,8.05
186,Ambon,ID,2022-10-30 01:07:31,-3.6954,128.1814,87.94,66,40,6.91
187,Hato Mayor,DO,2022-10-30 01:07:32,18.7629,-69.256,73.74,93,100,4.36
188,Baie-Comeau,CA,2022-10-30 01:05:30,49.2168,-68.1489,40.82,77,100,7.47
189,Lompoc,US,2022-10-30 01:07:33,34.6391,-120.4579,69.78,70,0,14.97
190,Kirgiz-Miyaki,RU,2022-10-30 01:07:33,53.6324,54.7979,33.46,70,100,13.8
191,Makakilo City,US,2022-10-30 01:07:33,21.3469,-158.0858,82.72,60,75,9.22
192,Iqaluit,CA,2022-10-30 01:07:34,63.7506,-68.5145,16.07,91,100,6.46
193,Hithadhoo,MV,2022-10-30 01:07:35,-0.6,73.0833,81.39,77,98,15.5
194,Neutraubling,DE,2022-10-30 01:07:35,48.9833,12.2,59.79,90,100,3.31
195,Sao Joao Da Barra,BR,2022-10-30 01:05:33,-21.6403,-41.0511,75.09,89,99,21.47
196,Daloa,CI,2022-10-30 01:07:36,6.8774,-6.4502,71.31,90,4,2.13
197,Uruzgan,AF,2022-10-30 01:07:36,32.8333,66.0,54.43,26,11,4.38
198,Tucurui,BR,2022-10-30 01:07:37,-3.7661,-49.6725,84.54,55,100,2.08
199,San-Pedro,CI,2022-10-30 01:07:37,4.7485,-6.6363,76.66,91,26,3.8
200,Viedma,AR,2022-10-30 01:07:38,-40.8135,-62.9967,47.52,72,100,1.41
201,Kjollefjord,NO,2022-10-30 01:07:38,70.9457,27.3465,33.85,64,20,19.57
202,Port Augusta,AU,2022-10-30 01:02:41,-32.5,137.7667,76.62,59,90,33.33
203,Ashqelon,IL,2022-10-30 01:07:39,31.6693,34.5715,71.8,73,0,9.31
204,Bell Ville,AR,2022-10-30 01:07:39,-32.6259,-62.6887,73.67,43,0,9.22
205,Yumen,CN,2022-10-30 01:07:40,40.2833,97.2,33.04,42,0,9.75
206,Chuy,UY,2022-10-30 01:07:40,-33.6971,-53.4616,63.32,85,46,5.53
207,Katsuura,JP,2022-10-30 01:07:41,35.1333,140.3,62.85,55,86,13.76
208,Castro,BR,2022-10-30 01:07:41,-24.7911,-50.0119,58.64,94,100,3.98
209,Innisfail,AU,2022-10-30 01:07:42,-17.5333,146.0333,86.7,64,23,8.75
210,Coihaique,CL,2022-10-30 01:03:26,-45.5752,-72.0662,31.35,93,20,6.08
211,Ketchikan,US,2022-10-30 01:07:42,55.3422,-131.6461,50.47,71,100,6.91
212,Lourdes,FR,2022-10-30 01:07:43,43.1,-0.05,52.72,62,0,6.91
213,Namatanai,PG,2022-10-30 01:07:43,-3.6667,152.4333,86.16,63,100,5.99
214,Camacha,PT,2022-10-30 01:07:44,33.0833,-16.3333,67.42,88,40,8.05
215,Iquique,CL,2022-10-30 01:03:40,-20.2208,-70.1431,60.04,75,45,1.48
216,Luderitz,NA,2022-10-30 01:07:44,-26.6481,15.1594,59.25,86,94,9.04
217,Srednekolymsk,RU,2022-10-30 01:07:45,67.45,153.6833,-2.88,98,98,6.76
218,Fortuna,US,2022-10-30 01:07:45,40.5982,-124.1573,62.92,87,20,11.5
219,Taoudenni,ML,2022-10-30 01:07:46,22.6783,-3.9836,77.77,12,5,9.44
220,Urdoma,RU,2022-10-30 01:07:47,61.7533,48.5442,37.6,95,100,10.8
221,Wewak,PG,2022-10-30 01:07:47,-3.5534,143.6268,85.06,67,100,4.0
222,Nicoya,CR,2022-10-30 01:07:48,10.1483,-85.452,75.04,92,75,2.35
223,Ancud,CL,2022-10-30 01:07:48,-41.8697,-73.8203,43.3,71,35,14.61
224,Hirara,JP,2022-10-30 01:07:49,24.8,125.2833,75.47,94,75,19.57
